法学,3,457,3,4,4620,-
西班牙语,4,433,4,4,5060,-
统计学类,3,448,3,4,3850,包含专业：统计学、应用统计学
经济统计学,4,427,4,4,3850,-
数据科学与大数据技术,3,425,3,4,4840,-
物理学（师范类）,3,465,3,4,3850,-
化学（师范类）,3,467,3,4,3850,-
生物科学（师范类）,3,473,3,4,3850,-
机械类,5,446,5,4,3850,包含专业：机械设计制造及其自动化、材料成型及控制工程
工业设计,4,394,3,4,3850,-
应用化学,3,441,3,4,3850,-
新能源材料与器件,2,446,3,4,3850,-
电气工程及其自动化,4,469,4,4,4840,-
自动化,2,460,2,4,4840,-
电子信息工程,4,458,5,4,4840,-
软件工程,5,456,5,4,4840,-
网络工程,4,449,4,4,4840,-
智能科学与技术,2,445,2,4,4840,-
车辆工程,4,420,4,4,3850,-
林学,2,409,2,4,3850,-
园林,2,394,1,4,3850,-
风景园林,3,409,3,4,4400,-
环境科学,2,415,2,4,3850,-
食品科学与工程,2,425,2,4,3850,-
临床医学,4,486,5,5,5060,-
医学影像学,2,479,2,5,5060,-
预防医学,2,462,3,5,5060,-
医学检验技术,2,469,2,4,5060,-
护理学,3,426,3,4,5060,-
药学,9,438,9,4,5060,-
会计学,2,471,2,4,4180,-
物流管理,2,394,0,4,4180,-
机械设计制造及其自动化（中外合作办学）,10,391,10,4,24000,只招收有专业志愿的考生，与英国提赛德大学合作办学。
护理学（中外合作办学）,5,395,5,4,23000,只招生有专业志愿的考生，与芬兰于韦斯屈莱应用科技大学合作办学。
