材料化学,2,440,2,4,4900,-
无机非金属材料工程,2,448,2,4,4900,-
复合材料与工程,2,428,2,4,4900,-
预防医学,3,476,4,5,5700,-
劳动与社会保障,2,424,1,4,4600,-
信息管理与信息系统,3,464,4,4,4600,-
护理学,5,439,5,4,5200,-
康复治疗学,2,455,2,4,5200,-
车辆工程,2,451,2,4,4900,-
临床医学,1,488,1,5,5700,-
医学检验技术,2,467,2,4,5200,-
交通运输,2,453,2,4,4900,-
物流工程,2,424,0,4,4600,-
土木工程,3,453,3,4,5300,-
安全工程,3,440,3,4,4900,-
采矿工程,3,424,2,4,4900,-
地理信息科学,3,428,3,4,4900,-
石油工程,3,434,3,4,4900,-
资源勘查工程,3,424,2,4,4900,-
电子信息工程,1,468,1,4,5300,-
通信工程,5,471,6,4,4900,-
网络工程,2,459,3,4,4900,-
生物技术,2,439,2,4,4900,-
药学,1,465,1,4,5700,-
药物制剂,1,463,2,4,5200,-
材料成型及控制工程,2,445,2,4,4900,-
金属材料工程,2,424,0,4,4900,-
能源与动力工程,2,457,3,4,5300,-
冶金工程,3,424,2,4,4900,-
新能源科学与工程,2,460,2,4,4900,-
中医学,3,470,5,5,5700,-
针灸推拿学,3,441,3,5,5200,-
