应用化学,3,386,3,4,5280,-
机械设计制造及其自动化,3,432,4,4,5280,-
材料成型及控制工程,2,380,3,4,5280,-
汽车服务工程,2,376,0,4,5280,-
测控技术与仪器,3,401,3,4,5280,-
无机非金属材料工程,3,376,2,4,5280,-
高分子材料与工程,3,383,3,4,5280,-
电气工程及其自动化,3,444,3,4,5280,-
电子信息工程,3,426,3,4,5280,-
通信工程,3,400,4,4,5280,-
自动化,3,436,3,4,5280,-
机器人工程,2,403,2,4,5280,-
软件工程,3,426,3,4,5280,-
物联网工程,3,427,3,4,5280,-
建筑环境与能源应用工程,2,376,1,4,5280,-
化学工程与工艺,3,385,3,4,5280,-
制药工程,3,389,3,4,5280,-
环境工程,2,381,2,4,5280,-
安全工程,3,387,4,4,5280,-
